product_id,brand,name,category,price,skin_types,concerns,ingredients_raw,actives,form,fragrance_free,vegan,rating
P001,La Roche-Posay,La Roche-Posay Cleanser Lotion 1,cleanser,18.0,oily,PIH;anti-aging;sensitivity,"water, glycerin, niacinamide",niacinamide,lotion,True,True,3.8
P002,Bioderma,Bioderma Cleanser Serum 2,cleanser,15.74,sensitive;dry;oily,anti-aging;pores,"water, glycerin, retinol",retinol,serum,False,False,3.9
P003,Paula's Choice,Paula's Choice Moisturizer Gel 3,moisturizer,10.54,normal,anti-aging;pores,"water, glycerin, zinc oxide",zinc oxide,gel,True,False,3.6
P004,Neutrogena,Neutrogena Moisturizer Serum 4,moisturizer,15.42,oily,sensitivity;pores;dehydration,"water, glycerin, azelaic acid",azelaic acid,serum,True,False,3.9
P005,EltaMD,EltaMD Treatment Lotion 5,treatment,23.41,normal;oily;sensitive,dehydration;anti-aging;sun,"water, glycerin, retinol",retinol,lotion,False,False,3.9
P006,Inkey List,Inkey List Treatment Lotion 6,treatment,47.3,combination,sun,"water, glycerin, ceramides, salicylic acid",ceramides;salicylic acid,lotion,True,False,3.8
P007,Clinique,Clinique Sunscreen Oil 7,sunscreen,13.0,combination,anti-aging;sun;texture,"water, glycerin, vitamin C, hyaluronic acid",vitamin C;hyaluronic acid,oil,True,True,4.3
P008,La Roche-Posay,La Roche-Posay Cleanser Gel 8,cleanser,13.49,dry,PIH;sensitivity;pores,"water, glycerin, zinc oxide, ceramides, peptides",zinc oxide;ceramides;peptides,gel,True,True,4.5
P009,Inkey List,Inkey List Moisturizer Lotion 9,moisturizer,11.47,combination;dry,anti-aging,"water, glycerin, retinol, salicylic acid, vitamin C",retinol;salicylic acid;vitamin C,lotion,False,True,3.7
P010,The Ordinary,The Ordinary Cleanser Serum 10,cleanser,21.88,oily,anti-aging;PIH,"water, glycerin, azelaic acid",azelaic acid,serum,True,True,4.6
P011,La Roche-Posay,La Roche-Posay Treatment Cream 11,treatment,38.33,combination;normal;dry,pores;PIH;anti-aging,"water, glycerin, azelaic acid, ceramides, peptides",azelaic acid;ceramides;peptides,cream,False,False,4.8
